Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
210,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00210_0.tif,3.453,1.3759,,1035.9,13.759
211,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00211_0.tif,3.4428,1.3759,,1032.84,13.759
212,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00212_0.tif,3.4327,1.386,,1029.81,13.86
213,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00213_0.tif,3.4174,1.3911,,1025.22,13.911
214,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00214_0.tif,3.4021,1.4013,,1020.63,14.013
215,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00215_0.tif,3.392,1.4064,,1017.6,14.064
216,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00216_0.tif,3.3767,1.4115,,1013.01,14.115
217,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00217_0.tif,3.3665,1.4166,,1009.95,14.166
218,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00218_0.tif,3.3513,1.4267,,1005.39,14.267
219,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00219_0.tif,3.3411,1.4318,,1002.33,14.318
220,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00220_0.tif,3.3258,1.4369,,997.74,14.369
221,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00221_0.tif,3.3106,1.442,,993.18,14.42
222,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00222_0.tif,3.3004,1.4522,,990.12,14.522
223,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00223_0.tif,3.2852,1.4573,,985.56,14.573
224,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00224_0.tif,3.275,1.4674,,982.5,14.674
225,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00225_0.tif,3.2648,1.4725,,979.44,14.725
226,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00226_0.tif,3.2496,1.4776,,974.88,14.776
227,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00227_0.tif,3.2394,1.4827,,971.82,14.827
228,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00228_0.tif,3.2292,1.4929,,968.76,14.929
229,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00229_0.tif,3.2139,1.498,,964.17,14.98
230,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00230_0.tif,3.1987,1.5082,,959.61,15.082
231,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00231_0.tif,3.1885,1.5132,,956.55,15.132
232,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00232_0.tif,3.1783,1.5183,,953.49,15.183
233,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00233_0.tif,3.1631,1.5285,,948.93,15.285
234,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00234_0.tif,3.1529,1.5336,,945.87,15.336
235,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00235_0.tif,3.1377,1.5387,,941.31,15.387
236,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00236_0.tif,3.1224,1.5438,,936.72,15.438
237,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00237_0.tif,3.1122,1.5539,,933.66,15.539
238,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00238_0.tif,3.1021,1.559,,930.63,15.59
